TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
2,exp20251226_062357,0,v100,fp16,11008,4096,2048,4,2,2,2,full-uniform-1,1024,32000,5015,23.5734,284.225
2,exp20251226_062357,1,v100,fp16,11008,4096,2048,4,2,2,2,full-uniform-1,1024,32000,5015,23.5763,284.19
2,exp20251226_062424,0,v100,fp16,11008,4096,2048,4,2,2,2,full-uniform-2,1024,32000,5015,23.6558,283.235
2,exp20251226_062424,1,v100,fp16,11008,4096,2048,4,2,2,2,full-uniform-2,1024,32000,5015,23.6503,283.301
2,exp20251226_062450,0,v100,fp16,11008,4096,2048,4,2,2,2,full-block-1,1024,32000,5015,26.0094,257.605
2,exp20251226_062450,1,v100,fp16,11008,4096,2048,4,2,2,2,full-block-1,1024,32000,5015,26.0032,257.666
2,exp20251226_062517,0,v100,fp16,11008,4096,2048,4,2,2,2,full-block-2,1024,32000,5015,23.6085,283.802
2,exp20251226_062517,1,v100,fp16,11008,4096,2048,4,2,2,2,full-block-2,1024,32000,5015,23.5978,283.931
2,exp20251226_062542,0,v100,fp16,11008,4096,2048,4,2,2,2,selective,1024,32000,5047,29.1945,229.501
2,exp20251226_062542,1,v100,fp16,11008,4096,2048,4,2,2,2,selective,1024,32000,5047,29.1894,229.541
2,exp20251226_062609,0,v100,fp16,11008,4096,2048,4,2,2,2,null,1024,32000,5047,29.5629,226.641
2,exp20251226_062609,1,v100,fp16,11008,4096,2048,4,2,2,2,null,1024,32000,5047,29.5649,226.625
2,exp20251226_062637,0,v100,fp16,11008,4096,2048,4,16,1,16,full-uniform-1,2048,32000,4865,26.3126,320.255
2,exp20251226_062637,1,v100,fp16,11008,4096,2048,4,16,1,16,full-uniform-1,2048,32000,4865,26.3043,320.356
2,exp20251226_062703,0,v100,fp16,11008,4096,2048,4,16,1,16,full-block-1,2048,32000,4865,26.5362,317.556
2,exp20251226_062703,1,v100,fp16,11008,4096,2048,4,16,1,16,full-block-1,2048,32000,4865,26.5368,317.549
2,exp20251226_062730,0,v100,fp16,11008,4096,2048,4,16,1,16,selective,2048,32000,4891,32.0573,262.864
2,exp20251226_062730,1,v100,fp16,11008,4096,2048,4,16,1,16,selective,2048,32000,4891,32.0252,263.128
2,exp20251226_062756,0,v100,fp16,11008,4096,2048,4,16,1,16,null,2048,32000,4913,32.0637,262.812
2,exp20251226_062756,1,v100,fp16,11008,4096,2048,4,16,1,16,null,2048,32000,4913,32.0579,262.86
1,exp20251226_062823,0,v100,fp16,11008,4096,2048,2,4,2,4,full-uniform-1,2048,32000,9823,41.971,323.88
1,exp20251226_062849,0,v100,fp16,11008,4096,2048,2,4,2,4,full-uniform-2,2048,32000,9823,41.2253,329.739
1,exp20251226_062916,0,v100,fp16,11008,4096,2048,2,4,2,4,full-block-1,2048,32000,9823,45.1967,300.765
1,exp20251226_062943,0,v100,fp16,11008,4096,2048,2,4,2,4,full-block-2,2048,32000,9823,40.0873,339.099
1,exp20251226_063009,0,v100,fp16,11008,4096,2048,2,4,2,4,selective,2048,32000,9823,47.9359,283.578
1,exp20251226_063035,0,v100,fp16,11008,4096,2048,2,4,2,4,null,2048,32000,9855,47.7693,284.567
4,exp20251226_063104,0,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-1,1024,32000,3119,10.6089,315.78
4,exp20251226_063104,1,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-1,1024,32000,3119,10.6091,315.775
4,exp20251226_063104,2,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-1,1024,32000,3119,10.609,315.775
4,exp20251226_063104,3,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-1,1024,32000,3119,10.6083,315.797
4,exp20251226_063131,0,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-2,1024,32000,3215,10.286,325.693
4,exp20251226_063131,1,v100,fp16,11008,4096,4096,4,32,2,32,full-uniform-2,1024,32000,3215,10.2858,325.7
